"Step","spotify-RLSum_LO - utility","spotify-RLSum_LO - utility__MIN","spotify-RLSum_LO - utility__MAX","spotify-RLSum_HI - utility","spotify-RLSum_HI - utility__MIN","spotify-RLSum_HI - utility__MAX","spotify-RLSum_BL - utility","spotify-RLSum_BL - utility__MIN","spotify-RLSum_BL - utility__MAX","spotify-RLSum_DC - utility","spotify-RLSum_DC - utility__MIN","spotify-RLSum_DC - utility__MAX","spotify-RLSum_IC - utility","spotify-RLSum_IC - utility__MIN","spotify-RLSum_IC - utility__MAX"
"38","9.603854384531012","9.603854384531012","9.603854384531012","9.491527700546804","9.491527700546804","9.491527700546804","9.761385044248659","9.761385044248659","9.761385044248659","4.22979394342259","4.22979394342259","4.22979394342259","8.398863110327015","8.398863110327015","8.398863110327015"
"39","12.372087956042265","12.372087956042265","12.372087956042265","8.60650913565226","8.60650913565226","8.60650913565226","11.816940692387334","11.816940692387334","11.816940692387334","8.501344782544953","8.501344782544953","8.501344782544953","7.464674437285795","7.464674437285795","7.464674437285795"
"40","7.551661281553569","7.551661281553569","7.551661281553569","6.47635661849107","6.47635661849107","6.47635661849107","9.016481711109401","9.016481711109401","9.016481711109401","8.444888080698135","8.444888080698135","8.444888080698135","16.533023106590413","16.533023106590413","16.533023106590413"
"41","10.793114697435524","10.793114697435524","10.793114697435524","2.6968930501415693","2.6968930501415693","2.6968930501415693","9.517700901309398","9.517700901309398","9.517700901309398","9.307371217934982","9.307371217934982","9.307371217934982","6.930639707796001","6.930639707796001","6.930639707796001"
"42","11.202812095001619","11.202812095001619","11.202812095001619","-0.14274542173560512","-0.14274542173560512","-0.14274542173560512","10.2558436435159","10.2558436435159","10.2558436435159","9.167110019376832","9.167110019376832","9.167110019376832","8.390499859407532","8.390499859407532","8.390499859407532"
"43","12.496977338116228","12.496977338116228","12.496977338116228","4.631575281641166","4.631575281641166","4.631575281641166","4.089409125306218","4.089409125306218","4.089409125306218","5.250624975366611","5.250624975366611","5.250624975366611","19.93045053033434","19.93045053033434","19.93045053033434"
"44","6.81150906084355","6.81150906084355","6.81150906084355","8.210730686462957","8.210730686462957","8.210730686462957","8.729666993533456","8.729666993533456","8.729666993533456","9.016914914472748","9.016914914472748","9.016914914472748","9.406862008529831","9.406862008529831","9.406862008529831"
"45","13.529513753655788","13.529513753655788","13.529513753655788","8.874592712152856","8.874592712152856","8.874592712152856","6.901799685055207","6.901799685055207","6.901799685055207","9.073028694339314","9.073028694339314","9.073028694339314","10.304650084653346","10.304650084653346","10.304650084653346"
"46","10.741685056909365","10.741685056909365","10.741685056909365","10.331034405704616","10.331034405704616","10.331034405704616","8.902413729418267","8.902413729418267","8.902413729418267","8.848506780172013","8.848506780172013","8.848506780172013","14.968833373670895","14.968833373670895","14.968833373670895"
"47","9.837215578154078","9.837215578154078","9.837215578154078","7.639508419293459","7.639508419293459","7.639508419293459","5.629131269371454","5.629131269371454","5.629131269371454","9.129332031523415","9.129332031523415","9.129332031523415","12.250551883918543","12.250551883918543","12.250551883918543"
"48","10.303694201338395","10.303694201338395","10.303694201338395","8.063841792152896","8.063841792152896","8.063841792152896","5.701709562332289","5.701709562332289","5.701709562332289","8.456674064191214","8.456674064191214","8.456674064191214","15.282070296642146","15.282070296642146","15.282070296642146"
"49","9.583939241301135","9.583939241301135","9.583939241301135","8.75652822049229","8.75652822049229","8.75652822049229","2.402638126882267","2.402638126882267","2.402638126882267","5.410552121505731","5.410552121505731","5.410552121505731","15.781695018758182","15.781695018758182","15.781695018758182"
"50","12.321403050703525","12.321403050703525","12.321403050703525","11.822928343366273","11.822928343366273","11.822928343366273","10.590107846341606","10.590107846341606","10.590107846341606","11.310828025128616","11.310828025128616","11.310828025128616","12.70786283375967","12.70786283375967","12.70786283375967"
"51","9.48178400468145","9.48178400468145","9.48178400468145","7.890678624776439","7.890678624776439","7.890678624776439","5.402917225695702","5.402917225695702","5.402917225695702","8.475759632723769","8.475759632723769","8.475759632723769","13.183665152163883","13.183665152163883","13.183665152163883"
